Actor,Character
Robert Downey Jr.,Tony Stark
Guy Pearce,Aldrich Killian
Gwyneth Paltrow,Pepper Potts
Don Cheadle,Colonel James Rhodes
Chris Evans,Captain America/Steve Rogers
Hugo Weaving,Johann Schmidt/Red Skull
Samuel L. Jackson,Nick Fury
Hayley Atwell,Peggy Carter
Tom Hanks,Woody
Tim Allen,Buzz Lightyear
Joan Cusack,Jessie
Ned Beatty,Lotso
Ralph Fiennes,M. Gustave
F. Murray Abraham,Mr. Moustafa
Mathieu Amalric,Serge X.
Adrien Brody,Dmitri
Tobey Maguire,Spider-Man/Peter Parker
Kirsten Dunst,Mary Jane Watson
Willem Dafoe,Green Goblin/Norman Osborn
James Franco,Harry Osborn
Leonardo DiCaprio,Hugh Glass
Tom Hardy,John Fitzgerald
Will Poulter,Bridger
Domhnall Gleeson,Captain Andrew Henry
Martin Freeman,Bilbo
Ian McKellen,Gandalf
Richard Armitage,Thorin
Andy Serkis,Gollum
Robert Downey Jr.,Tony Stark
Mickey Rourke,Ivan Vanko
Gwyneth Paltrow,Pepper Potts
Don Cheadle,Lt. Col. James 'Rhodey' Rhodes
Dev Patel,Older Jamal
Freida Pinto,Older Latika
Saurabh Shukla,Sergeant Srinivas
Anil Kapoor,Prem
Daveigh Chase,Chihiro
Suzanne Pleshette,Yubaba/Zeniba
Miyu Irino,Haku
Rumi Hiiragi,Chihiro Ogino/Sen
Daniel Radcliffe,Harry Potter
Rupert Grint,Ron Weasley
Emma Watson,Hermione Granger
Richard Harris,Albus Dumbledore
Leonardo DiCaprio,Rick Dalton
Brad Pitt,Cliff Booth
Margot Robbie,Sharon Tate
Emile Hirsch,Jay Sebring
Gerard Butler,King Leonidas
Lena Headey,Queen Gorgo
David Wenham,Dilios
Dominic West,Theron
Sandra Bullock,Ryan Stone
George Clooney,Matt Kowalski
Ed Harris,Mission Control
Orto Ignatiussen,Aningaaq
Chris Evans,Steve Rogers/Captain America
Robert Downey Jr.,Tony Stark/Iron Man
Scarlett Johansson,Natasha Romanoff/Black Widow
Sebastian Stan,Bucky Barnes/Winter Soldier
Hugh Jackman,Logan/X-24
Patrick Stewart,Charles
Dafne Keen,Laura
Boyd Holbrook,Pierce
Zach Galifianakis,Alan
Bradley Cooper,Phil
Justin Bartha,Doug
Ed Helms,Stu
Jake Gyllenhaal,Donnie Darko
Jena Malone,Gretchen Ross
Mary McDonnell,Rose Darko
Holmes Osborne,Eddie Darko
Hayden Christensen,Anakin Skywalker
Natalie Portman,Padmé
Ewan McGregor,Obi-Wan Kenobi
Samuel L. Jackson,Mace Windu
Brad Garrett,Gusteau
Lou Romano,Linguini
Patton Oswalt,Remy
Ian Holm,Skinner
Chadwick Boseman,T'Challa/Black Panther
Michael B. Jordan,Erik Killmonger
Lupita Nyong'o,Nakia
Danai Gurira,Okoye
Robert Pattinson,Bruce Wayne/The Batman
Zoë Kravitz,Selina Kyle
Jeffrey Wright,Lt. James Gordon
Colin Farrell,Oz/The Penguin
Hugh Jackman,Keller Dover
Jake Gyllenhaal,Detective Loki
Viola Davis,Nancy Birch
Melissa Leo,Holly Jones
Natalie Portman,Nina Sayers/The Swan Queen
Mila Kunis,Lily/The Black Swan
Vincent Cassel,Thomas Leroy/The Gentleman
Winona Ryder,Beth Macintyre/The Dying Swan
Amy Poehler,Joy
Bill Hader,Fear
Lewis Black,Anger
Mindy Kaling,Disgust
Benedict Cumberbatch,Alan Turing
Keira Knightley,Joan Clarke
Matthew Goode,Hugh Alexander
Allen Leech,John Cairncross
Chris Hemsworth,Thor
Tom Hiddleston,Loki
Cate Blanchett,Hela
Mark Ruffalo,Bruce Banner/Hulk
Will Smith,Robert Neville
Alice Braga,Anna
Charlie Tahan,Ethan
Salli Richardson-Whitfield,Zoe Neville
Craig T. Nelson,Bob Parr/Mr. Incredible
Samuel L. Jackson,Lucius Best/Frozone
Holly Hunter,Helen Parr/Elastigirl
Jason Lee,Buddy Pine/Syndrome
Clint Eastwood,Walt Kowalski
Bee Vang,Thao
Christopher Carley,Father Janovich
Ahney Her,Sue
Benedict Cumberbatch,Dr. Stephen Strange
