Actor,Character
Luke Wilson,Mitch
Vince Vaughn,Beanie
Will Ferrell,Frank
Jeremy Piven,Pritchard
Natalie Portman,Emma
Ashton Kutcher,Adam
Kevin Kline,Alvin
Cary Elwes,Dr. Metzner
Renée Zellweger,Roxie Hart
Catherine Zeta-Jones,Velma Kelly
Richard Gere,Billy Flynn
Taye Diggs,Bandleader
Nicholas Hoult,R
Teresa Palmer,Julie
John Malkovich,Grigio
Lio Tipton,Nora
Matt Damon,Jason Bourne
Tommy Lee Jones,CIA Director Robert Dewey
Alicia Vikander,Heather Lee
Vincent Cassel,Asset
Johnny Depp,Tonto
Armie Hammer,John Reid (Lone Ranger
William Fichtner,Butch Cavendish
Tom Wilkinson,Cole
Emile Hirsch,Matthew Kidman
Elisha Cuthbert,Danielle
Timothy Olyphant,Kelly
James Remar,Hugo Posh
Jamie Bell,Tintin
Andy Serkis,Captain Haddock/Sir Francis Haddock
Daniel Craig,Sakharine/Red Rackham
Simon Pegg,Thompson
Vin Diesel,Riddick
Judi Dench,Aereon
Colm Feore,Lord Marshal
Thandiwe Newton,Dame Vaako
Jackie Chan,Lee
Chris Tucker,Carter
John Lone,Ricky Tan
Ziyi Zhang,Hu Li
Tom Hanks,Colonel Tom Parker
Austin Butler,Elvis
Olivia DeJonge,Priscilla
Helen Thomson,Gladys
Paul Rudd,Danny
Seann William Scott,Wheeler
Elizabeth Banks,Beth
Christopher Mintz-Plasse,Augie
Eric Bana,Avner
Daniel Craig,Steve
Marie-Josée Croze,Jeanette the Dutch Assassin
Ciarán Hinds,Carl
Jon Heder,Napoleon Dynamite
Efren Ramirez,Pedro
Jon Gries,Uncle Rico
Aaron Ruell,Kip
Dwayne Johnson,Hobbs
Jason Statham,Shaw
Idris Elba,Brixton
Vanessa Kirby,Hattie
Russell Crowe,Capt. Jack Aubrey
James D'Arcy,1st Lt. Tom Pullings
Olivia Colman,Queen Anne
Emma Stone,Abigail
Rachel Weisz,Lady Sarah
Nicholas Hoult,Harley
Leonardo DiCaprio,Roger Ferris
Russell Crowe,Ed Hoffman
Mark Strong,Hani
Golshifteh Farahani,Aisha
Joel Kinnaman,Alex Murphy/RoboCop
Gary Oldman,Dr. Dennett Norton
Michael Keaton,Raymond Sellars
Abbie Cornish,Clara Murphy
Paul Rudd,Scott Lang/Ant-Man
Evangeline Lilly,Hope Van Dyne/The Wasp
Michael Douglas,Dr. Hank Pym
Michelle Pfeiffer,Janet Van Dyne
Denzel Washington,Tobin Frost
Ryan Reynolds,Matt Weston
Robert Patrick,Daniel Kiefer
Vera Farmiga,Catherine Linklater
Mark Wahlberg,John
Seth MacFarlane,Ted
Amanda Seyfried,Samantha
Jessica Barth,Tami-Lynn
Wesley Snipes,Blade
Kris Kristofferson,Whistler
Ron Perlman,Reinhardt
Leonor Varela,Nyssa
Johnny Depp,Will Caster
Rebecca Hall,Evelyn Caster
Morgan Freeman,Joseph Tagger
Cillian Murphy,Agent Buchanan
Ryan Reynolds,Big Adam
Walker Scobell,Young Adam
Mark Ruffalo,Louis Reed
Jennifer Garner,Ellie Reed
Natalie Portman,Alice
Jude Law,Dan
Clive Owen,Larry
Julia Roberts,Anna
Amber Midthunder,Naru
Dakota Beavers,Taabe
Dane DiLiegro,Predator
Stormee Kipp,Wasape
Channing Tatum,Cale
Jamie Foxx,President Sawyer
Maggie Gyllenhaal,Finnerty
Jason Clarke,Stenz
Thomas Mann,Thomas
Oliver Cooper,Costa
Jonathan Daniel Brown,JB
Dax Flame,Dax
Robert Downey Jr.,Harry Lockhart
Val Kilmer,Gay Perry
Michelle Monaghan,Harmony Faith Lane
Corbin Bernsen,Harlan Dexter
Viggo Mortensen,Ben
George MacKay,Bodevan
Samantha Isler,Kielyr
Annalise Basso,Vespyr
Will Ferrell,Harold Crick
Emma Thompson,Karen Eiffel
Dustin Hoffman,Professor Jules Hilbert
Queen Latifah,Penny Escher
Jon Favreau,Carl Casper
Robert Downey Jr.,Marvin
Scarlett Johansson,Molly
Dustin Hoffman,Riva
Nicolas Cage,Grug
Ryan Reynolds,Guy
Emma Stone,Eep
Catherine Keener,Ugga
Charlie Hunnam,Arthur
Astrid Bergès-Frisbey,The Mage
Jude Law,Vortigern
Djimon Hounsou,Bedivere
Jason Clarke,Rob Hall
Ang Phula Sherpa,Ang Dorjee
Thomas M. Wright,Michael Groom
Martin Henderson,Andy 'Harold' Harris
Donnie Yen,Ip Man
Simon Yam,Quan
Louis Fan,Jin
Ka-Tung Lam,Li
Mark Wahlberg,Captain Leo Davidson
Helena Bonham Carter,Ari
Tim Roth,Thade
Michael Clarke Duncan,Attar
Daniel Craig,Jake Lonergan
Harrison Ford,Woodrow Dolarhyde
Olivia Wilde,Ella Swenson
Abigail Spencer,Alice
Chris Pratt,Dan Forester
Yvonne Strahovski,Colonel Muri Forester
J.K. Simmons,James Forester
Betty Gilpin,Emmy Forester
Sylvester Stallone,Rocky Balboa
Antonio Tarver,Mason 'The Line' Dixon
Milo Ventimiglia,Robert Balboa Jr.
Burt Young,Paulie
John Travolta,Bolt
Miley Cyrus,Penny
Susie Essman,Mittens
Mark Walton,Rhino
Katherine Heigl,Abby
Gerard Butler,Mike Chadway
Bree Turner,Joy
Eric Winter,Colin
Mark Wahlberg,Daniel Lugo
Dwayne Johnson,Paul Doyle
Anthony Mackie,Adrian Doorbal
Tony Shalhoub,Victor Kershaw
Denzel Washington,Chisolm
Chris Pratt,Josh Faraday
Ethan Hawke,Goodnight Robicheaux
Vincent D'Onofrio,Jack Horne
Paul Giamatti,Tom Duffy
George Clooney,Governor Mike Morris
Philip Seymour Hoffman,Paul Zara
Ryan Gosling,Stephen Meyers
Ben Affleck,Matt Murdock/Daredevil
Jennifer Garner,Elektra Natchios
Colin Farrell,Bullseye
Michael Clarke Duncan,Wilson Fisk/The Kingpin
Pierce Brosnan,James Bond
Halle Berry,Jinx
Rosamund Pike,Miranda Frost
Toby Stephens,Gustav Graves
Jack Nicholson,Dr. Buddy Rydell
Adam Sandler,Dave Buznik
Marisa Tomei,Linda
Luis Guzmán,Lou
Barry Keoghan,Oliver Quick
Jacob Elordi,Felix Catton
Rosamund Pike,Elspeth Catton
Richard E. Grant,Sir James Catton
Brendan Fraser,Charlie
Sadie Sink,Ellie
Ty Simpkins,Thomas
Hong Chau,Liz
Alicia Vikander,Lara Croft
Dominic West,Richard Croft
Walton Goggins,Mathias Vogel
Daniel Wu,Lu Ren
Scarlett Johansson,Nola Rice
Jonathan Rhys Meyers,Chris Wilton
Emily Mortimer,Chloe Hewett Wilton
Matthew Goode,Tom Hewett
Scarlett Johansson,Major
Pilou Asbæk,Batou
Takeshi Kitano,Aramaki
Juliette Binoche,Dr. Ouelet
Steve Carell,Maxwell Smart
Anne Hathaway,Agent 99
Alan Arkin,The Chief
Dwayne Johnson,Agent 23
Jake Gyllenhaal,Jamie Randall
Anne Hathaway,Maggie Murdock
Judy Greer,Cindy
Oliver Platt,Bruce Winston
Aaron Eckhart,Nick Naylor
Cameron Bright,Joey Naylor
Maria Bello,Polly Bailey
Joan Lunden,Joan Lunden
Kåre Hedebrant,Oskar
Lina Leandersson,Eli
Per Ragnar,Håkan
Henrik Dahl,Erik
Ray Romano,Manny
Denis Leary,Diego
John Leguizamo,Sid
Aziz Ansari,Squint
Mike Myers,Shrek
Cameron Diaz,Princess Fiona
Eddie Murphy,Donkey
Antonio Banderas,Puss in Boots
Song Kang-ho,Detective Park Doo-man
Kim Sang-kyung,Detective Seo Tae-yoon
Kim Roe-ha,Detective Cho Yong-koo
Song Jae-ho,Sergeant Shin Dong-chul
Ben Barnes,Prince Caspian
Skandar Keynes,Edmund Pevensie
Georgie Henley,Lucy Pevensie
William Moseley,Peter Pevensie
Denzel Washington,Bobby
Mark Wahlberg,Stig
Paula Patton,Deb
Bill Paxton,Earl
Carrie Coon,Callie
Paul Rudd,Grooberson
Finn Wolfhard,Trevor
Mckenna Grace,Phoebe
Owen Wilson,Lightning McQueen
Larry the Cable Guy,Mater
Michael Caine,Finn McMissile
Emily Mortimer,Holley Shiftwell
Ricardo Darín,Benjamín Espósito
Soledad Villamil,Irene Menéndez Hastings
Pablo Rago,Ricardo Morales
Carla Quevedo,Liliana Coloto
Leonardo DiCaprio,Frank Wheeler
Kate Winslet,April Wheeler
Christopher Fitzgerald,Party Guest
Jonathan Roumie,Party Guest
Scott Mechlowicz,Scott Thomas
Jacob Pitts,Cooper Harris
Michelle Trachtenberg,Jenny
Travis Wester,Jamie
Millie Bobby Brown,Enola Holmes
Henry Cavill,Sherlock Holmes
Sam Claflin,Mycroft Holmes
Helena Bonham Carter,Eudoria Holmes
Ewan McGregor,Dan Torrance
Rebecca Ferguson,Rose the Hat
Kyliegh Curran,Abra Stone
Cliff Curtis,Billy Freeman
Jason Biggs,Jim
Alyson Hannigan,Michelle
Seann William Scott,Stifler
Chris Klein,Oz
Gary Oldman,Winston Churchill
Lily James,Elizabeth Layton
Kristin Scott Thomas,Clemmie
Ben Mendelsohn,King George VI
Mike Myers,Austin Powers/Dr. Evil/Goldmember/Fat Bastard
Beyoncé,Foxxy Cleopatra
Seth Green,Scott Evil
Michael York,Basil Exposition
Rose McGowan,Cherry Darling
Freddy Rodríguez,Wray
Josh Brolin,Dr. William Block
Marley Shelton,Dr. Dakota Block
Jennifer Garner,Jenna Rink
Mark Ruffalo,Matt Flamhaff
Judy Greer,Lucy Wyman
Andy Serkis,Richard Kneeland
Ezra Miller,Barry Allen/The Flash
Michael Keaton,Bruce Wayne/Batman
Sasha Calle,Kara Zor-El/Supergirl
Michael Shannon,General Zod
Zach Braff,Andrew Largeman
Peter Sarsgaard,Mark
Natalie Portman,Sam
Ian Holm,Gideon Largeman
Mandy Moore,Jamie Sullivan
Shane West,Landon Carter
Peter Coyote,Reverend Sullivan
Daryl Hannah,Cynthia Carter
Sean Penn,Mickey Cohen
Ryan Gosling,Sgt. Jerry Wooters
Emma Stone,Grace Faraday
Giovanni Ribisi,Officer Conwell Keeler
Jim Carrey,Count Olaf
Jude Law,Lemony Snicket
Meryl Streep,Aunt Josephine
Liam Aiken,Klaus
Anthony Hopkins,Ted Crawford
Ryan Gosling,Willy Beachum
David Strathairn,DA Joe Lobruto
Rosamund Pike,Nikki Gardner
O'Shea Jackson Jr.,Ice Cube
Corey Hawkins,Dr. Dre
Jason Mitchell,Eazy-E
Neil Brown Jr.,DJ Yella
Darío Grandinetti,"Salgado (segment ""Pasternak"""
María Marull,"Isabel (segment ""Pasternak"""
Mónica Villa,"Profesora Leguizamón (segment ""Pasternak"""
Diego Starosta,"Ignacio Fontana (segment ""Pasternak"""
Megan Fox,April O'Neil
Will Arnett,Vern Fenwick
William Fichtner,Eric Sacks
Noel Fisher,Michelangelo
Louis C.K.,Max
Eric Stonestreet,Duke
Kevin Hart,Snowball
Lake Bell,Chloe
Suriya,Chandru
Lijo Mol Jose,Senggeni
Manikandan K.,Rajakannu
Rajisha Vijayan,Maithra
Angelina Jolie,Lara Croft
Jon Voight,Lord Richard Croft
Iain Glen,Manfred Powell
Noah Taylor,Bryce
Alison Lohman,Christine Brown
Justin Long,Clay Dalton
Ruth Livier,Farm Worker's Wife
Lorna Raver,Mrs. Ganush
Jake Gyllenhaal,Adam + Anthony
Mélanie Laurent,Mary
Sarah Gadon,Helen
Isabella Rossellini,Mother
Jason Statham,Jensen Ames
Joan Allen,Hennessey
Tyrese Gibson,Machine Gun Joe
Ian McShane,Coach
Zac Efron,Mike O'Donnell
Matthew Perry,Mike O'Donnell (Adult
Leslie Mann,Scarlet
Thomas Lennon,Ned Gold
Iko Uwais,Rama
Ananda George,Ari
Ray Sahetapy,Tama
Donny Alamsyah,Andi
Dwayne Johnson,Bob Stone
Kevin Hart,Calvin Joyner
Danielle Nicolet,Maggie
Amy Ryan,Agent Pamela Harris
Amy Adams,Giselle
Susan Sarandon,Queen Narissa
James Marsden,Prince Edward
Patrick Dempsey,Robert Philip
Jason Biggs,Jim Levenstein
Alyson Hannigan,Michelle Flaherty
Seann William Scott,Steve Stifler
Eugene Levy,Jim's Dad
Owen Wilson,Francis
Adrien Brody,Peter
Jason Schwartzman,Jack
Amara Karan,Rita
Hilary Swank,Holly
Gerard Butler,Gerry
Harry Connick Jr.,Daniel
Lisa Kudrow,Denise
Mark Wahlberg,Elliot Moore
Zooey Deschanel,Alma Moore
John Leguizamo,Julian
Ashlyn Sanchez,Jess
Sanaa Lathan,Alexa Woods
Lance Henriksen,Charles Bishop Weyland
Raoul Bova,Sebastian de Rosa
Ewen Bremner,Graeme Miller
Julia Roberts,Amanda Sandford
Mahershala Ali,G. H. Scott
Ethan Hawke,Clay Sandford
Myha'la,Ruth Scott
Jeremy Renner,Hansel
Gemma Arterton,Gretel
Peter Stormare,Sheriff Berringer
Famke Janssen,Muriel
Paul Rudd,Peter Klaven
Jason Segel,Sydney Fife
Rashida Jones,Zooey Rice
Sarah Burns,Hailey
Aamir Khan,Mahavir Singh Phogat
Sakshi Tanwar,Daya Kaur
Fatima Sana Shaikh,Geeta Phogat
Sanya Malhotra,Babita Kumari
Carey Mulligan,Cassandra
Bo Burnham,Ryan
Alison Brie,Madison
Clancy Brown,Stanley
Daveigh Chase,Lilo
Chris Sanders,Stitch
Tia Carrere,Nani
David Ogden Stiers,Jumba
Jason Statham,Frank Martin
Amber Valletta,Audrey Billings
Kate Nauta,Lola
Alessandro Gassmann,Gianni Chellini
Adam Sandler,Zohan
John Turturro,Phantom
Emmanuelle Chriqui,Dalia
Nick Swardson,Michael
Tobin Bell,Jigsaw/John
Shawnee Smith,Amanda
Angus Macfadyen,Jeff
Bahar Soomekh,Lynn
Vince Vaughn,Billy McMahon
Owen Wilson,Nick Campbell
Rose Byrne,Dana
Aasif Mandvi,Mr. Chetty
Dwayne Johnson,Frank Wolff
Emily Blunt,Lily Houghton
Edgar Ramírez,Aguirre
Jack Whitehall,MacGregor Houghton
Jason Statham,H
Holt McCallany,Bullet
Josh Hartnett,Boy Sweat Dave
Rocci Boy Williams,Hollow Bob
Ben Stiller,Larry Daley
Owen Wilson,Jedediah
Amy Adams,Amelia Earhart
Hank Azaria,Kahmunrah/The Thinker/Abe Lincoln
Bruce Willis,John McClane
Jai Courtney,Jack McClane
Sebastian Koch,Komarov
Mary Elizabeth Winstead,Lucy
Lubna Azabal,Nawal Marwan
Mélissa Désormeaux-Poulin,Jeanne Marwan
Maxim Gaudette,Simon Marwan
Mustafa Kamel,Barbier de la Milice/Officer Milice Chrétienne
Mason Thames,Finney
Madeleine McGraw,Gwen
Ethan Hawke,The Grabber
Jeremy Davies,Terrence
James Franco,Oz
Michelle Williams,Annie/Glinda
Rachel Weisz,Evanora
Mila Kunis,Theodora/Wicked Witch of the West
Dennis Quaid,General Hawk
Channing Tatum,Duke
Marlon Wayans,Ripcord
Adewale Akinnuoye-Agbaje,Heavy Duty
Gary Oldman,George Smiley
Colin Firth,Bill Haydon
Tom Hardy,Ricki Tarr
Mark Strong,Jim Prideaux
Logan Marshall-Green,Grey Trace
Melanie Vallejo,Asha Trace
Steve Danielsen,Jeff Handley
Abby Craden,Kara
Chris Pratt,Owen Grady
Bryce Dallas Howard,Claire Dearing
Laura Dern,Ellie Sattler
Sam Neill,Alan Grant
Seth Rogen,Frank/Sergeant Pepper
Kristen Wiig,Brenda
Jonah Hill,Carl
Alistair Abell,Mariachi Salsa/Gefilte Fish
Kyle Chandler,Dr. Mark Russell
Vera Farmiga,Dr. Emma Russell
Millie Bobby Brown,Madison Russell
Ken Watanabe,Dr. Ishiro Serizawa
Ryan Gosling,Dean
Michelle Williams,Cindy
John Doman,Jerry
Faith Wladyka,Frankie
Tom Cruise,Barry Seal
Domhnall Gleeson,Monty 'Schafer'
Sarah Wright,Lucy Seal
Jesse Plemons,Sheriff Downing
Cameron Diaz,Elizabeth Halsey
Jason Segel,Russell Gettis
Justin Timberlake,Scott Delacorte
Lucy Punch,Amy Squirrel
Jim Carrey,Walter Sparrow/Fingerling
Virginia Madsen,Agatha Sparrow/Fabrizia
Logan Lerman,Robin Sparrow
Danny Huston,Isaac French/Dr. Miles Phoenix
Cate Blanchett,Jasmine
Alec Baldwin,Hal
Peter Sarsgaard,Dwight
Sally Hawkins,Ginger
Jason Statham,Jonas Taylor
Bingbing Li,Suyin
Rainn Wilson,Morris
Cliff Curtis,Mac
James McAvoy,Professor Charles Xavier
Michael Fassbender,Erik Lehnsherr/Magneto
Jennifer Lawrence,Raven/Mystique
Nicholas Hoult,Hank McCoy/Beast
Bill Murray,Steve Zissou
Owen Wilson,Ned Plimpton
Anjelica Huston,Eleanor Zissou
Cate Blanchett,Jane Winslett-Richardson
Blake Lively,Adaline Bowman
Michiel Huisman,Ellis Jones
Harrison Ford,William Jones
Kathy Baker,Kathy Jones
Johnny Depp,Sir James Matthew Barrie
Kate Winslet,Sylvia Llewelyn Davies
Julie Christie,Mrs. Emma du Maurier
Radha Mitchell,Mary Ansell Barrie
Tom Cruise,Roy Miller
Cameron Diaz,June Havens
Peter Sarsgaard,Fitzgerald
Jordi Mollà,Antonio
Luke Evans,Vlad
Dominic Cooper,Mehmed
Sarah Gadon,Mirena
Art Parkinson,Ingeras
Milla Jovovich,Alice
Sienna Guillory,Jill Valentine
Eric Mabius,Matt Addison
Oded Fehr,Carlos Olivera
Johnny Depp,Mort Rainey
Maria Bello,Amy Rainey
John Turturro,John Shooter
Timothy Hutton,Ted Milner
Darsheel Safary,Ishaan Nandkishore Awasthi
Aamir Khan,Ram Shankar Nikumbh
Tisca Chopra,Maya Awasthi
Vipin Sharma,Nandkishore Awasthi
Harrison Ford,Indiana Jones
Phoebe Waller-Bridge,Helena
Antonio Banderas,Renaldo
Karen Allen,Marion
Jake Gyllenhaal,Anthony Swofford
Jamie Foxx,Staff Sgt. Sykes
Lucas Black,Chris Kruger
Scott MacDonald,D.I. Fitch
Jackie Chan,Mr. Han
Jaden Smith,Dre Parker
Taraji P. Henson,Sherry Parker
Wenwen Han,Meiying
Kate Beckinsale,Selene
Scott Speedman,Michael
Bill Nighy,Viktor
Tony Curran,Marcus
Michael Fassbender,Cal Lynch/Aguilar
Marion Cotillard,Sofia
Jeremy Irons,Rikkin
Brendan Gleeson,Joseph Lynch
Charlize Theron,Lorraine Broughton
James McAvoy,David Percival
John Goodman,Emmett Kurzfeld
Eddie Marsan,Spyglass
Jaden Smith,Kitai Raige
David Denman,Private McQuarrie
Will Smith,Cypher Raige
Sophie Okonedo,Faia Raige
Denzel Washington,Frank
Chris Pine,Will
Rosario Dawson,Connie
Ethan Suplee,Dewey
Tom Cruise,Nick Morton
Sofia Boutella,Ahmanet
Annabelle Wallis,Jenny Halsey
Russell Crowe,Henry Jekyll
Robert Downey Jr.,Hank Palmer
Robert Duvall,Joseph Palmer
Vera Farmiga,Samantha Powell
Billy Bob Thornton,Dwight Dickham
Woody Harrelson,Tallahassee
Jesse Eisenberg,Columbus
Emma Stone,Wichita
Abigail Breslin,Little Rock
Denzel Washington,Walter Garber
John Travolta,Ryder
Luis Guzmán,Phil Ramos
Victor Gojcaj,Bashkin
Martin Freeman,Arthur Dent
Yasiin Bey,Ford Prefect
Sam Rockwell,Zaphod Beeblebrox
Zooey Deschanel,Trillian
Georgina Campbell,Tess
Bill Skarsgård,Keith
Justin Long,AJ
Matthew Patrick Davis,The Mother
Russell Crowe,John Brennan
Elizabeth Banks,Lara Brennan
Liam Neeson,Damon Pennington
Michael Buie,Mick Brennan
John Cho,Harold Lee
Kal Penn,Kumar Patel
Ethan Embry,Billy Carver
Rob Tinkler,J.D.
Tom Hardy,Reggie Kray/Ron Kray
Emily Browning,Frances Shea
Taron Egerton,Mad Teddy Smith
Paul Anderson,Albert Donoghue
Michael Fassbender,Brandon
Carey Mulligan,Sissy
James Badge Dale,David
Lucy Walters,Woman on Subway Train
Saoirse Ronan,Hanna
Cate Blanchett,Marissa Wiegler
Eric Bana,Erik Heller
Vicky Krieps,Johanna Zadek
Milla Jovovich,Alice
Ali Larter,Claire
Oded Fehr,Carlos Olivera
Iain Glen,Dr. Isaacs
Paul Giamatti,Miles
Thomas Haden Church,Jack
Virginia Madsen,Maya
Sandra Oh,Stephanie
Denzel Washington,Robert McCall
Pedro Pascal,Dave York
Ashton Sanders,Miles Whittaker
Orson Bean,Sam Rubinstein
Rachel McAdams,Paige
Channing Tatum,Leo
Sam Neill,Bill Thornton
Jessica Lange,Rita Thornton
Liam Neeson,Bryan Mills
Forest Whitaker,Frank Dotzler
Maggie Grace,Kim Mills
Famke Janssen,Lenore St. John
Jennifer Lawrence,Dominika Egorova
Joel Edgerton,Nate Nash
Matthias Schoenaerts,Vanya Egorov
Charlotte Rampling,Matron
Dwayne Johnson,Mitch Buchannon
Zac Efron,Matt Brody
Alexandra Daddario,Summer Quinn
Priyanka Chopra Jonas,Victoria Leeds
Ryan Gosling,Neil Armstrong
Claire Foy,Janet Armstrong
Jason Clarke,Ed White
Kyle Chandler,Deke Slayton
Heath Ledger,William Thatcher
Mark Addy,Roland
Rufus Sewell,Count Adhemar
Shannyn Sossamon,Jocelyn
Logan Lerman,Percy Jackson
Kevin McKidd,Poseidon
Steve Coogan,Hades
Brandon T. Jackson,Grover
Aamir Khan,PK
Anushka Sharma,Jagat Janani Sahni (Jaggu
Sanjay Dutt,Bhairon Singh
Boman Irani,Cherry Bajwa
Nicolas Cage,Charlie Kaufman/Donald Kaufman
Meryl Streep,Susan Orlean
Chris Cooper,John Laroche
Tilda Swinton,Valerie Thomas
Danny Trejo,Machete
Michelle Rodriguez,Luz
Robert De Niro,Senator McLaughlin
Jessica Alba,Sartana
David Lee Smith,John
Tony Todd,Dan
John Billingsley,Harry
Ellen Crawford,Edith
Jemaine Clement,Vladislav
Taika Waititi,Viago
Cori Gonzalez-Macuer,Nick
Jonny Brugh,Deacon
Mads Mikkelsen,Martin
Thomas Bo Larsen,Tommy
Magnus Millang,Nikolaj
Lars Ranthe,Peter
Anthony Hopkins,Anthony
Olivia Colman,Anne
Mark Gatiss,The Man
Olivia Williams,The Woman
Will Ferrell,Ricky Bobby
John C. Reilly,Cal Naughton Jr.
Sacha Baron Cohen,Jean Girard
Gary Cole,Reese Bobby
Samara Weaving,Grace
Adam Brody,Daniel
Mark O'Brien,Alex
Henry Czerny,Tony
Will Smith,Daryl Ward
Joel Edgerton,Nick Jakoby
Noomi Rapace,Leilah
Edgar Ramírez,Kandomere
Jacob Tremblay,Luca Paguro
Jack Dylan Grazer,Alberto Scorfano
Emma Berman,Giulia Marcovaldo
Saverio Raimondo,Ercole Visconti
Elijah Wood,Mumble
Brittany Murphy,Gloria
Hugh Jackman,Memphis
Robin Williams,Ramon/Lovelace
Ben Stiller,Alex
Jada Pinkett Smith,Gloria
Chris Rock,Marty
David Schwimmer,Melman
Manuela Velasco,Ángela
Ferran Terraza,Manu
Jorge-Yamam Serrano,Policía joven
Pablo Rosso,Pablo
Jane Levy,Mia
Shiloh Fernandez,David
Jessica Lucas,Olivia
Lou Taylor Pucci,Eric
Will Smith,Oscar
Robert De Niro,Don Lino
Renée Zellweger,Angie
Angelina Jolie,Lola
Emily Blunt,Rachel
Haley Bennett,Megan
Rebecca Ferguson,Anna
Justin Theroux,Tom
Seth MacFarlane,Albert
Charlize Theron,Anna
Liam Neeson,Clinch
Amanda Seyfried,Louise
Michael Fassbender,The Killer
Tilda Swinton,The Expert
Charles Parnell,The Lawyer - Hodges
Arliss Howard,The Client - Claybourne
Kristen Bell,Anna
Idina Menzel,Elsa
Josh Gad,Olaf
Jonathan Groff,Kristoff
Ryan Reynolds,One
Mélanie Laurent,Two
Manuel Garcia-Rulfo,Three
Ben Hardy,Four
Jason Schwartzman,Jesper
J.K. Simmons,Klaus
Rashida Jones,Alva
Will Sasso,Mr. Ellingboe
Russell Crowe,Jim Braddock
Renée Zellweger,Mae Braddock
Craig Bierko,Max Baer
Paul Giamatti,Joe Gould
Eddie Redmayne,Lili
Alicia Vikander,Gerda
Amber Heard,Ulla
Ben Whishaw,Henrik
Sosie Bacon,Rose Cotter
Jessie T. Usher,Trevor
Kyle Gallner,Joel
Robin Weigert,Dr. Madeline Northcott
Dane DeHaan,Major Valerian
Cara Delevingne,Sergeant Laureline
Clive Owen,Commander Arun Filitt
Rihanna,Bubble
Taron Egerton,Elton John
Jamie Bell,Bernie Taupin
Richard Madden,John Reid
Bryce Dallas Howard,Sheila
Adam Sandler,Paul Crewe
Burt Reynolds,Coach Nate Scarborough
Chris Rock,Caretaker
Nelly,Megget
Daniel Craig,XXXX
Sienna Miller,Tammy
Michael Gambon,Eddie Temple
Tom Hardy,Clarkie
Kirsten Dunst,Justine
Charlotte Gainsbourg,Claire
Kiefer Sutherland,John
Alexander Skarsgård,Michael
Sylvester Stallone,Barney Ross
Jason Statham,Lee Christmas
Jet Li,Yin Yang
Antonio Banderas,Galgo
Rooney Mara,Emily Taylor
Channing Tatum,Martin Taylor
Jude Law,Dr. Jonathan Banks
Catherine Zeta-Jones,Dr. Victoria Siebert
Jason Bateman,Dave Lockwood
Ryan Reynolds,Mitch Planko
Olivia Wilde,Sabrina McKay
Leslie Mann,Jamie Lockwood
Linda Hamilton,Sarah Connor
Arnold Schwarzenegger,T-800/Carl
Mackenzie Davis,Grace
Natalia Reyes,Dani Ramos
Nicole Kidman,Mrs. Coulter
Daniel Craig,Lord Asriel
Dakota Blue Richards,Lyra
Ben Walker,Roger
James McAvoy,Dr. Nicholas Garrigan
Forest Whitaker,Idi Amin
Gillian Anderson,Sarah Merrit
Kerry Washington,Kay Amin
Mia Goth,Maxine/Pearl
Jenna Ortega,Lorraine
Brittany Snow,Bobby-Lynne
Kid Cudi,Jackson
John Travolta,Gabriel
Hugh Jackman,Stanley
Halle Berry,Ginger
Don Cheadle,Roberts
Barry G. Bernson,Dr. Larry Banks
Herb Caillouet,Ed Thompson (Hospital Director
Bill Camp,Matthew Williams
Raffey Cassidy,Kim Murphy
Tyler Labine,Dale
Alan Tudyk,Tucker
Katrina Bowden,Allison
Jesse Moss,Chad
Jack Black,Po
Bryan Cranston,Li
Dustin Hoffman,Shifu
Angelina Jolie,Tigress
Matthew McConaughey,Buster Moon
Reese Witherspoon,Rosita
Seth MacFarlane,Mike
Scarlett Johansson,Ash
Mario Casas,Adrián Doria
Ana Wagener,Virginia Goodman
Jose Coronado,Tomás Garrido
Bárbara Lennie,Laura Vidal
Benedict Cumberbatch,Phil Burbank
Kirsten Dunst,Rose Gordon
Jesse Plemons,George Burbank
Kodi Smit-McPhee,Peter Gordon
Sam Worthington,Perseus
Liam Neeson,Zeus
Rosamund Pike,Andromeda
Ralph Fiennes,Hades
Antonio Banderas,Puss in Boots
Salma Hayek,Kitty Softpaws
Zach Galifianakis,Humpty Alexander Dumpty
Billy Bob Thornton,Jack
Hugh Jackman,Bunny
Alec Baldwin,North
Isla Fisher,Tooth
Chris Pine,Jack Frost
Eddie Redmayne,Tom Hayden
Alex Sharp,Rennie Davis
Sacha Baron Cohen,Abbie Hoffman
Jeremy Strong,Jerry Rubin
Shia LaBeouf,Jerry Shaw
Michelle Monaghan,Rachel Holloman
Rosario Dawson,Zoe Perez
Michael Chiklis,Defense Secretary Callister
Constance Wu,Rachel Chu
Henry Golding,Nick Young
Michelle Yeoh,Eleanor Young
Gemma Chan,Astrid Young Teo
Channing Tatum,Caine Wise
Mila Kunis,Jupiter Jones
Eddie Redmayne,Balem Abrasax
Sean Bean,Stinger Apini
Eva Green,Miss Peregrine
Asa Butterfield,Jake
Samuel L. Jackson,Barron
Judi Dench,Miss Avocet
Tom Bateman,Bouc
Annette Bening,Euphemia Bouc
Kenneth Branagh,Hercule Poirot
Russell Brand,Windlesham
Bryan Cranston,Chief
Koyu Rankin,Atari
Edward Norton,Rex
Bob Balaban,King
Brad Pitt,Jesse James
